text,label
conserva els 2 voravius,flower
conserva els dos voravius,flower
"Tafetà de color verd, de forma rectangular, amb el dibuix de 2 estoles pintades en blanc a punt per a ser brodades. Als laterals té 2 cintes de cotó, cosides, segurament per subjetar el teixit al tambor de brodar.
Forma part d'un conjunt inacabat de casulla (de la que es conserven les 2 parts), cobrecalze i bossa de corporals, dissenyats per Gaspar Homar per a l'ermita de sant Jaume d'Aiguafreda de Begur.",plant
conserva els 2 voravius,flower
"Teixit que per disseny, tècnica i ample de tela va ser fabricat segurament per l'empresa ""Garín e Hijos"" de València.",flower
"fragment de faixa masculina de les denominades  ""faixes de Kontusz""",flower
Teixit d\'estil bizarre.,flower
conserva fragments de voravius.,flower
conserva 1 voraviu,flower
conserva els dos voravius,flower
conserva 1 fragment de voraviu,flower
conserva 1 voraviu,flower
"conserva voravius
- vellut tallat llavorat, brocat, trama llançada",flower
conserva 1 voraviu,flower
conserva els dos voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
"Fragment de teixit del model ""CARPIO"" de l'empresa valenciana ""Garín e Hijos"", inspirat en un disseny del segle XVIII",flower
conserva un dels voravius,flower
conserva un dels voravius,flower
"conserva 1 voraviu.
- vellut tallat llavorat de 1 cos",plant
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva 1 voraviu,flower
Podria tractar-se d'una mostra de brodat,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa. Restes de fistó en fil negre en el perímetre.",geometrical_shape
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa. Restes de fistó en fil negre en el perímetre.",geometrical_shape
conserva 1 voraviu,flower
Teixit de seda amb motius florals,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
Vellut tallat llavorat de 1 cos,plant
"Banda decorativa: fons de lli cru amb motius brodats en seda color vermell, decoració de motius vegetals estilitzats.",plant
conserva fragents de 1 dels voravius,flower
conserva 1 voraviu,geometrical_shape
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
Podria tractar-se d'una mostra de brodat,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva fragments del voraviu,flower
"Banda de punta mecànica treballada en seda, de color negre amb motius florals.",flower
vellut tallat llavorat de 1 cos,plant
conserva part d'un voraviu,flower
conserva 1 voraviu,flower
"Teixit de seda llavorat, bicolor. Decoració de motiu floral simètric situat al centre de garlandes ondulants. Segurament formava part d'una casulla.",flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
Fragment de teixit que segurament correspon a una faixa femenina.,geometrical_shape
Banda rectagular brodada amb representació de motius vegetals.,plant
conserva 1 voraviu,geometrical_shape
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
"Fragment de teixit rectangular que presenta un únic motiu enquadrat que es repeteixt al llarg del teixit, en sentit horitzontal i vertical.  S'alternen els colors blau i groc. Una de les bandes està acabada amb un punt diferent al de la resta del teixit i es conserva un fragment de sanefa perímetral que fa petites ones.",geometrical_shape
"Fragment de teixit de setí de seda, color cru, amb brodat realçat en seda i diversos tipus de fils metàl·lics entorxats, argentats i daurats creant flors i motius vegetals",flower
segurament correspon a un fragment de faixa femenina.,geometrical_shape
"Conserva 1 voraviu
- Vellut tallat llavorat de 1 cos",plant
conserva els 2 voravius,flower
conserva 1 voraviu,geometrical_shape
segurament correspon a un fragment de faixa femenina.,flower
segurament correspon a un fragment de faixa femenina.,flower
conserva 1 voraviu,flower
"Vellut tallat llavorat de 1 cos
- conserva 2 voravius",plant
"densitat d'ordit: 38 fils/cm.
- densitat de trama: 31 passades/cm.
- voraviu: 0,4 cm. (tafetà de seda cru i estampat).",flower
conserva 1 dels voravius,flower
conserva fragments dels 2 voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva els dos voravius,flower
conserva 1 dels voravius,flower
Fragment de banda,plant
"Tres fragments de blonda que possiblement devien estar destinats a ser mantellines. De color negre, dos d’elles tenen format rectangular i una és semi oval.",flower
"Fragment de teixit del model ""RICA"" de l'empresa valenciana ""Garín e Hijos"", inspirat en un disseny del segle XVIII",flower
Teixit format per diversos fragments cosits entre ells i on es poden identificar diferents símbols budistes.,geometrical_shape
conserva 1 dels voravius,flower
conserva 1 voraviu,geometrical_shape
conserva els 2 voravius,flower
conserva els 2 voravius,plant
conserva un voraviu.,flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,plant
conserva 1 voraviu,flower
conserva els 2 voravius,geometrical_shape
conserva 1 voraviu,plant
conserva els 2 voravius,flower
conserva un dels voravius,flower
